Suburb,Rooms,Type,Method,SellerG,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longtitude,Regionname,Propertycount,ParkingArea,Price,year_list,month_list
Preston,1,u,SP,Brad,8.8,3072,1,1,1,896,65,2011,Darebin City Council,-37.7316,145.0201,Northern Metropolitan,14577,Carport,385000,2017,4
Brunswick,2,u,S,Nelson,5.2,3056,2,1,1,0,66,1950,Moreland City Council,-37.7775,144.9607,Northern Metropolitan,11918,Attached Garage,575000,2016,9
Bentleigh,3,h,S,C21,11.4,3204,3,2,2,598,132.4,1960,Glen Eira City Council,-37.92353,145.04358,Southern Metropolitan,6795,Attached Garage,1360500,2018,2
Reservoir,3,h,S,Nelson,11.2,3073,3,2,3,479,153,1950,Darebin City Council,-37.7271,144.9968,Northern Metropolitan,21650,Carport,998000,2016,7
Fitzroy,2,t,S,Nelson,1.6,3065,2,1,2,521.8,117,1999,Yarra City Council,-37.799,144.975,Northern Metropolitan,5825,Attached Garage,1350000,2017,8
Malvern East,3,t,S,Jellis,8.4,3145,3,1,1,206,110,1980,Stonnington City Council,-37.87107,145.04991,Southern Metropolitan,8801,Attached Garage,1060000,2017,5
Maribyrnong,3,h,S,Rendina,4.3,3032,3,1.4,2,569.8,143,1986.2,Maribyrnong City Council,-37.756804,144.858522,Western Metropolitan,4918,Carport,600000,2017,7
Richmond,2,u,PI,Ray,2.6,3121,2,1,1,237.4,65,2008,Yarra City Council,-37.822,145.0104,Northern Metropolitan,14949,Carport,560000,2017,8
Glen Iris,2,u,S,hockingstuart,7.3,3146,3.2,1.8,1.6,393.2,99.2,2001.8,Boroondara City Council,-37.817156,145.074942,Southern Metropolitan,10412,Attached Garage,565000,2017,4
Sunshine North,4,h,S,Douglas,13.3,3020,4,1,2,665,147,1980,Brimbank City Council,-37.7662,144.8383,Western Metropolitan,4217,Parkade,775000,2017,4
Heidelberg,3,h,S,Miles,8.9,3084,3,1,1,368,170,1974.4,Banyule City Council,-37.74861,145.06151,Eastern Metropolitan,2890,Parkade,856000,2018,2
Briar Hill,3,h,S,Jellis,16.1,3088,3,1,1,1115,212,1987.8,Banyule City Council,-37.7074,145.1248,Eastern Metropolitan,1390,Parkade,977000,2017,11
Malvern East,4,u,PI,Barry,8.4,3145,3.2,2,1.2,336.2,166,1980.6,Stonnington City Council,-37.825606,145.040284,Southern Metropolitan,8801,Attached Garage,1400000,2017,11
Ormond,1,u,SP,Thomson,11.4,3204,1,1,1,821,33,1975,Glen Eira City Council,-37.90296,145.04637,Southern Metropolitan,3578,Parkade,280000,2017,3
Parkville,2,u,VB,Jellis,2.6,3052,2.6,1,1.4,566.6,100.6,2002,Melbourne City Council,-37.889342,145.006584,Northern Metropolitan,2309,Indoor,500000,2017,11
Croydon,4,h,SP,Barry,23,3136,4,2,2,815,140,1960,Maroondah City Council,-37.78393,145.29132,Eastern Metropolitan,11925,Indoor,760000,2017,8
Doncaster East,4,h,PI,Barry,14.3,3109,4,2,2,864,188,1970,Manningham City Council,-37.77875,145.17409,Eastern Metropolitan,10999,Parkade,1330000,2017,10
Cremorne,3,h,S,hockingstuart,2.4,3121,3,1,2,156,113,1880,Yarra City Council,-37.82795,144.99565,Northern Metropolitan,1123,Indoor,1245000,2018,6
Doveton,3,h,S,C21,11,3177,3,1,2,276.4,90,1950,Casey City Council,-37.98567,145.23508,South-Eastern Metropolitan,3533,Indoor,568500,2017,9
Epping,1,u,VB,Barry,19.6,3076,1,1,1,0,56.2,1965.8,Whittlesea City Council,-37.775524,144.980482,Northern Metropolitan,10926,Attached Garage,315000,2018,3
Glenroy,4,h,S,Barry,13,3046,4,2,2,650,116.2,1966.4,Moreland City Council,-37.7004,144.9411,Northern Metropolitan,8870,Indoor,787500,2016,6
Hughesdale,2,u,S,Ray,13,3166,2,1,1,0,94,1987.2,Monash City Council,-37.9014,145.0824,Southern Metropolitan,3145,Attached Garage,648000,2016,6
Brunswick,3,h,S,Nelson,5.2,3056,3,1,1,419.2,44,2014,Moreland City Council,-37.77473,144.97026,Northern Metropolitan,11918,Indoor,1200000,2017,10
Footscray,2,u,VB,Trimson,6.4,3011,2,1,1,14.6,61.6,1970.6,Maribyrnong City Council,-37.8025,144.9052,Western Metropolitan,7570,Underground,400000,2017,6
Edithvale,2,u,S,O'Brien,14.04,3196,2,1,2,224,104,2000,Kingston City Council,-38.0371,145.11717,South-Eastern Metropolitan,2546,Carport,724000,2017,7
Williamstown North,2,h,SA,Barlow,8.9,3016,3.2,1.2,1.4,596.8,121,1976.6,Hobsons Bay City Council,-37.699806,144.935134,Western Metropolitan,802,Underground,600000,2016,4
Flemington,1,u,SP,Nelson,4.4,3031,1,1,1,818,50,1880,Melbourne City Council,-37.788,144.9306,Northern Metropolitan,3593,Carport,395000,2017,2
Footscray,4,h,SP,Village,6.4,3011,4,1,1,799,160,1910,Maribyrnong City Council,-37.7958,144.9001,Western Metropolitan,7570,Attached Garage,1450000,2016,8
Moonee Ponds,4,h,S,Woodards,6.9,3039,4,2,3,431,246,1910,Moonee Valley City Council,-37.7615,144.9094,Western Metropolitan,6232,Attached Garage,955000,2017,4
Hoppers Crossing,4,h,S,Ray,18.4,3029,4,2,0,531,190,1992,Wyndham City Council,-37.87477,144.66815,Western Metropolitan,13830,Detached Garage,571000,2018,2
Ashwood,3,h,S,Tim,12.2,3147,3,1,2,723,160.6,1964.6,Monash City Council,-37.8642,145.1109,Southern Metropolitan,2894,Carport,1120000,2016,7
Vermont,4,h,S,Philip,17.2,3133,4,1,1.2,880,142,1980,Maroondah City Council,-37.83737,145.18819,Eastern Metropolitan,4181,Indoor,1133000,2017,10
North Melbourne,2,u,S,Jellis,2.3,3051,2,1,1,383.8,68,1975,Melbourne City Council,-37.7997,144.9472,Northern Metropolitan,6821,Detached Garage,560000,2017,2
Nunawading,3,h,VB,Barry,15.4,3131,3,1,2,588,121,1965,Manningham City Council,-37.80794,145.18282,Eastern Metropolitan,4973,Indoor,970000,2018,10
Thornbury,2,u,S,Nelson,7,3071,1.6,1,1,152.6,111.6,1992.6,Darebin City Council,-37.806818,144.972216,Northern Metropolitan,8870,Carport,541000,2017,4
Mernda,4,h,S,RW,13.14,3754,4,2,2,473.4,161,2011,Whittlesea City Council,-37.6021,145.08753,Northern Metropolitan,5812,Carport,600000,2017,10
Mordialloc,2,u,PI,Ray,21.5,3195,1.8,1,1,367.2,102.4,1982.2,Kingston City Council,-37.800156,144.966984,South-Eastern Metropolitan,3650,Detached Garage,440000,2017,7
Box Hill,2,t,S,Fletchers,13.1,3128,2,1,1,257,155.74,1965.4,Whitehorse City Council,-37.8259,145.1282,Eastern Metropolitan,4605,Detached Garage,990000,2017,5
Taylors Lakes,4,h,S,Barry,15.5,3038,4,2,2,644,153.8,1981.8,Brimbank City Council,-37.71128,144.80686,Western Metropolitan,5336,Carport,704000,2017,7
Altona Meadows,4,h,S,YPA,15.5,3028,4,2,2,636,232,1996,Hobsons Bay City Council,-37.87941,144.76935,Western Metropolitan,7630,Outdoor Stall,750000,2017,9
Maribyrnong,3,h,S,Biggin,8.7,3032,3,1,1,594,148.2,1940,Maribyrnong City Council,-37.7804,144.8878,Western Metropolitan,4918,Detached Garage,1010000,2016,7
Elsternwick,3,t,PI,Scott,8.5,3185,3,2,2,108,142,2000,Glen Eira City Council,-37.8861,145.0014,Southern Metropolitan,4898,Parking Pad,850000,2016,11
North Melbourne,2,u,S,hockingstuart,1.8,3051,2.4,1.2,1.4,415.6,107.4,1989,Melbourne City Council,-37.87803,144.971688,Northern Metropolitan,6821,Parking Pad,552500,2017,10
Albanvale,3,h,S,GL,14,3021,3,1,2,314.6,115,1975,Brimbank City Council,-37.74485,144.77612,Western Metropolitan,1899,Indoor,502000,2017,8
Brunswick,4,h,S,Nelson,5.2,3056,3,1.4,1.6,312.6,151,1927,Moreland City Council,-37.830028,145.040488,Northern Metropolitan,11918,Carport,1440000,2017,11
Toorak,5,h,S,Matthew,4.6,3142,3,1,0,333,205.6,1940.2,Stonnington City Council,-37.8474,145.0063,Southern Metropolitan,7217,Underground,2170000,2016,9
Bentleigh East,4,h,S,hockingstuart,13.9,3165,3.2,1.4,1.8,436.2,137.2,1932,Glen Eira City Council,-37.862422,145.06781,Southern Metropolitan,10969,Indoor,1262500,2017,5
Hadfield,4,h,S,Brad,12.1,3046,4,2,2,763,147.2,1986.2,Moreland City Council,-37.7123,144.9426,Northern Metropolitan,2606,Parkade,918000,2017,11
Brunswick East,2,h,S,Nelson,4,3057,2,2,1,224,89,1900,Moreland City Council,-37.75995,144.97413,Northern Metropolitan,5533,Parkade,950000,2017,9
North Melbourne,3,h,S,W.B.,2.3,3051,3,1,0,83,129,1980,Melbourne City Council,-37.7987,144.9497,Northern Metropolitan,6821,Carport,1340000,2017,4
Hampton,3,t,SP,Buxton,13.8,3188,3.4,1.8,1.8,572.4,176.86,1969.6,Bayside City Council,-37.847964,145.025516,Southern Metropolitan,5454,Attached Garage,1100000,2017,7
Frankston South,3,h,S,hockingstuart,12.22,3199,3,2,2,395.8,242,1980,Frankston City Council,-38.16457,145.12421,South-Eastern Metropolitan,7566,Carport,1155000,2017,8
Bentleigh East,2,h,S,Buxton,13.9,3165,2,1,2,750,155.2,1952.8,Glen Eira City Council,-37.9325,145.0694,Southern Metropolitan,10969,Attached Garage,1160000,2016,7
Ringwood North,4,h,PI,Barry,19.9,3134,4,2,2,431.6,162,1967,Manningham City Council,-37.8009,145.2176,Eastern Metropolitan,3619,Outdoor Stall,950000,2017,11
Abbotsford,2,h,S,Jellis,2.5,3067,2,1,0,181,138.4,1961.6,Yarra City Council,-37.8041,144.9953,Northern Metropolitan,4019,Detached Garage,941000,2016,7
Moonee Ponds,3,h,S,Nelson,6.9,3039,3,1,2,427,205.8,1958.4,Moonee Valley City Council,-37.7702,144.9266,Western Metropolitan,6232,Attached Garage,1370000,2016,4
Yarraville,3,h,S,Sweeney,7,3013,3,1,1,558,128,1940,Maribyrnong City Council,-37.8119,144.868,Western Metropolitan,6543,Carport,725000,2016,9
Mentone,3,h,PI,Barry,20,3194,3,1,2,531,132.736,1950.4,Kingston City Council,-37.98023,145.08402,South-Eastern Metropolitan,6162,Parkade,950000,2017,9
Hawthorn,4,h,S,Kay,4.6,3122,4,2,1,218,173,1890,Boroondara City Council,-37.8142,145.0252,Southern Metropolitan,11308,Parkade,1936000,2016,9
Oakleigh South,3,h,S,Buxton,15.5,3167,3,2,2,684,144.4,1970,Kingston City Council,-37.93773,145.08867,South-Eastern Metropolitan,3692,Carport,1000000,2017,10
Hawthorn,2,u,PI,Walshe,5.3,3122,2,1,1,0,121.4,1976.2,Boroondara City Council,-37.827,145.02563,Southern Metropolitan,11308,Indoor,525000,2017,6
Brunswick West,1,u,VB,Jellis,5.2,3055,1,1,1,95.8,36,1970,Moreland City Council,-37.7684,144.94214,Northern Metropolitan,7082,Carport,275000,2017,7
West Melbourne,3,h,SP,Nelson,3.1,3003,3,2,1,166,134.4,1932,Melbourne City Council,-37.809,144.9483,Northern Metropolitan,2230,Attached Garage,1470000,2017,11
Mount Waverley,4,h,S,Biggin,14.2,3149,4,2,2,806,141.4,1926.8,Monash City Council,-37.87923,145.12935,Eastern Metropolitan,13366,Carport,1705000,2018,3
Coburg,3,h,SP,Nelson,7.8,3058,3,2,0,342,116.8,1936,Darebin City Council,-37.743,144.956,Northern Metropolitan,11204,Attached Garage,951000,2016,11
Airport West,3,h,S,Brad,13.5,3042,3,1,2,612,135.2,1988,Moonee Valley City Council,-37.7169,144.8815,Western Metropolitan,3464,Carport,662000,2016,4
Malvern East,3,h,S,Marshall,11.2,3145,3,1,1,322,137,1910,Stonnington City Council,-37.8726,145.0396,Southern Metropolitan,8801,Parkade,1490000,2016,3
Hawthorn,2,u,SP,Fletchers,5.3,3122,2,1,1,0,116.4,2014,Boroondara City Council,-37.82214,145.03288,Southern Metropolitan,11308,Detached Garage,600000,2017,7
Kew East,3,h,S,Noel,7.3,3102,3,2,2,545.8,177.8,1952.8,Boroondara City Council,-37.79883,145.06016,Southern Metropolitan,2671,Carport,1845500,2017,10
Glenroy,3,t,S,Eview,11.2,3046,2.6,1.2,1.4,432.8,110.52,1987.2,Moreland City Council,-37.809582,145.07122,Northern Metropolitan,8870,Outdoor Stall,595000,2017,1
Fairfield,3,h,S,Collins,5.8,3078,3,1,2,382,140,1950,Darebin City Council,-37.7696,145.0188,Northern Metropolitan,2970,Indoor,1055000,2016,6
Northcote,4,h,S,Nelson,5.3,3070,4,1,3,479,167.6,1960.6,Darebin City Council,-37.78078,145.01297,Northern Metropolitan,11364,Carport,1822000,2018,2
Reservoir,3,h,SP,Love,11.2,3073,3,1,1,551,115,1950,Darebin City Council,-37.7194,145.0015,Northern Metropolitan,21650,Indoor,801000,2017,5
Hampton,4,t,S,Marshall,13.7,3188,4,2.2,2,671,174.6,1973.2,Bayside City Council,-37.853714,145.05457,Southern Metropolitan,5454,Carport,2020000,2017,4
Boronia,4,h,S,Noel,25,3155,4,2,2,854,153.4,1970,Knox City Council,-37.85596,145.27129,Eastern Metropolitan,9704,Attached Garage,780000,2018,10
Dingley Village,3,h,S,Buxton,22.2,3172,3,1,3,564,132,1975.4,Kingston City Council,-37.98186,145.13081,South-Eastern Metropolitan,3940,Detached Garage,892000,2017,8
Oak Park,2,h,S,Brad,11.5,3046,2,1,2,0,99.6,1988.4,Moreland City Council,-37.7157,144.9165,Northern Metropolitan,2651,Detached Garage,480000,2016,7
Brunswick West,3,h,S,Nelson,5.2,3055,3,1,1.2,374,107,1900,Moreland City Council,-37.76292,144.94486,Northern Metropolitan,7082,Indoor,1326000,2018,3
Kew,2,u,PI,RT,5.6,3101,3.6,1.6,1.8,603,126.2,1957.2,Boroondara City Council,-37.73204,145.090034,Southern Metropolitan,10331,Attached Garage,725000,2016,8
Richmond,3,h,S,Biggin,2.6,3121,2.6,1.4,1.8,357.6,155.8,1975.8,Yarra City Council,-37.802164,145.034886,Northern Metropolitan,14949,Parkade,930000,2016,8
Prahran,3,h,VB,Jellis,4.6,3181,3,3,1,239,117,1890,Stonnington City Council,-37.85014,145.00672,Southern Metropolitan,7717,Detached Garage,1500000,2018,2
Oakleigh,3,h,PI,Buxton,14,3166,3.4,1.6,1.8,657,146.6,1950.2,Monash City Council,-37.832316,145.073296,Southern Metropolitan,3224,Indoor,1580000,2017,4
Thomastown,3,h,PI,Fletchers,15.3,3074,2.4,1,1.4,285,129.8,1986.2,Whittlesea City Council,-37.828864,145.051908,Northern Metropolitan,7955,Attached Garage,620500,2017,11
Sunshine North,4,h,S,Barry,13.3,3020,4,1,1,683,166.8,1976,Brimbank City Council,-37.7694,144.8321,Western Metropolitan,4217,Indoor,716000,2016,3
Thornbury,2,h,S,Nelson,7,3071,2,1,3,667,100,1955,Darebin City Council,-37.75503,145.01805,Northern Metropolitan,8870,Carport,1170000,2017,10
South Yarra,2,u,S,Ray,2.7,3141,3.6,1.6,2,695.2,137.6,1985.8,Melbourne City Council,-37.74146,144.820874,Southern Metropolitan,14887,Detached Garage,725000,2018,2
Preston,2,h,S,RW,8.4,3072,2,1,2,525,116.8,1925,Darebin City Council,-37.74441,144.98928,Northern Metropolitan,14577,Outdoor Stall,1365000,2017,6
Richmond,2,h,S,hockingstuart,2.6,3121,2,1,1,80,103.2,1934.6,Yarra City Council,-37.8126,145.004,Northern Metropolitan,14949,Indoor,1042500,2017,4
Surrey Hills,2,u,VB,Fletchers,10.2,3127,2,2,1,424.6,123,1980,Boroondara City Council,-37.82294,145.09947,Southern Metropolitan,5457,Carport,985000,2017,9
Brunswick,3,h,S,Woodards,5.2,3056,3,1,0,282,112,1900,Moreland City Council,-37.7674,144.966,Northern Metropolitan,11918,Attached Garage,1210000,2017,6
Sunbury,5,h,SP,Leeburn,10.52,3429,5,2,2,450.2,32,1996.8,Hume City Council,-37.58522,144.69937,Western Metropolitan,14092,Parkade,605000,2017,7
Glen Iris,3,h,S,Marshall,7.3,3146,3.6,2,1.8,413.2,175,1953.2,Boroondara City Council,-37.830526,145.023578,Southern Metropolitan,10412,Indoor,1555000,2018,2
Pascoe Vale,3,u,S,Nelson,8.5,3044,3,1.4,1,392.8,110.2,1964.8,Moreland City Council,-37.861708,145.01017,Northern Metropolitan,7485,Detached Garage,745000,2017,10
Hallam,3,h,S,O'Brien,11.26,3803,3,2,2,649,143.4,1983.4,Casey City Council,-38.00022,145.2709,South-Eastern Metropolitan,3728,Indoor,662500,2017,1
Brunswick West,3,h,PI,Nelson,5.9,3055,3,1,2,683,215.6,1976,Moreland City Council,-37.7744,144.9396,Northern Metropolitan,7082,Indoor,1200000,2017,4
Preston,4,h,S,Nelson,8.4,3072,4,1,2,552,140,1940,Darebin City Council,-37.72879,144.98538,Northern Metropolitan,14577,Indoor,1148000,2017,12
Ascot Vale,3,h,S,Barry,5.9,3032,3,2,2,416,168,1900,Moonee Valley City Council,-37.7727,144.9055,Western Metropolitan,6567,Underground,1381500,2017,2
Ascot Vale,3,h,PI,Rendina,4.3,3032,3,2,1,352.4,185,1890,Moonee Valley City Council,-37.77659,144.91428,Western Metropolitan,6567,Parking Pad,1550000,2018,2
Burnside Heights,3,h,S,YPA,14.8,3023,3,2,2,419,126.6,2007,Melton City Council,-37.73244,144.75669,Western Metropolitan,1686,Carport,655000,2017,9
Montmorency,3,h,PI,Fletchers,16.2,3094,3,1,1,1285,144.8,1981.2,Banyule City Council,-37.716,145.13452,Eastern Metropolitan,3891,Parkade,960000,2017,1
Braybrook,3,h,VB,GL,8.6,3019,3,1,1,613,110,1950,Maribyrnong City Council,-37.77998,144.85338,Western Metropolitan,3589,Parkade,780000,2018,3
Brunswick West,1,u,SP,Jellis,5.2,3055,1,1,1,199,35.6,1969.2,Moreland City Council,-37.79758,144.984228,Northern Metropolitan,7082,Carport,255000,2018,10
Huntingdale,3,h,SP,Ray,12.3,3166,3,1,2,577,127,1970,Monash City Council,-37.90564,145.10509,Southern Metropolitan,768,Carport,1100000,2017,7
Dandenong North,3,h,S,C21,24.7,3175,3,1,1,763,112,1978,Greater Dandenong City Council,-37.95466,145.21193,South-Eastern Metropolitan,8322,Parkade,727000,2017,7
Keysborough,3,h,PI,Buxton,25.2,3173,3,2,2,552,102.2,1954.2,Greater Dandenong City Council,-37.99013,145.17912,South-Eastern Metropolitan,8459,Indoor,752000,2017,6
Windsor,1,u,VB,LITTLE,4.6,3181,2.8,1.2,1.4,156.8,81.6,1997,Port Phillip City Council,-37.730616,144.737812,Southern Metropolitan,4380,Parkade,370000,2017,10
Airport West,3,h,S,Barry,13.5,3042,3,1,1,579,113,1975,Moonee Valley City Council,-37.7226,144.8733,Western Metropolitan,3464,Parkade,685000,2016,5
Croydon,3,h,S,Barry,23,3136,2.8,1.6,1.2,230,148,1980.8,Maroondah City Council,-37.75309,144.96847,Eastern Metropolitan,11925,Carport,740000,2017,11
Brooklyn,2,t,PI,hockingstuart,10.9,3012,2.4,1,1.2,284.6,92,1971,Brimbank City Council,-37.715342,144.967886,Western Metropolitan,962,Carport,465000,2017,11
South Melbourne,2,h,S,hockingstuart,2.1,3205,2.6,1.2,1.6,507.2,153.2,1964.2,Port Phillip City Council,-37.811834,144.957068,Southern Metropolitan,5943,Carport,1026000,2016,10
Montmorency,3,h,S,Barry,16.2,3094,3,2,2,842,140.6,1965.8,Banyule City Council,-37.72096,145.12948,Eastern Metropolitan,3891,Parkade,1130000,2017,5
Brunswick,3,h,SP,Nelson,5.2,3056,3,2,0,251,108,1890,Moreland City Council,-37.77588,144.95736,Northern Metropolitan,11918,Attached Garage,1435000,2017,3
Eltham,3,h,S,Jellis,18,3095,3,1,2.2,1323,209.4,1966.8,Banyule City Council,-37.70463,145.1588,Eastern Metropolitan,6990,Indoor,1250000,2018,3
Hawthorn,2,u,VB,Peter,5.3,3122,2,1.2,1,153.2,72.2,1969.8,Boroondara City Council,-37.776204,145.068298,Southern Metropolitan,11308,Parkade,480000,2018,2
South Yarra,3,h,S,hockingstuart,2.7,3141,3,2,2,462,168.4,1949.6,Melbourne City Council,-37.84315,144.98596,Southern Metropolitan,14887,Attached Garage,1400000,2017,8
Glenroy,4,h,PI,Barry,11.2,3046,4,2,3,659,141.2,1981.2,Moreland City Council,-37.70619,144.92916,Northern Metropolitan,8870,Indoor,750000,2017,3
Maribyrnong,3,h,PI,Biggin,8.7,3032,3,2,2,203,160,2006,Maribyrnong City Council,-37.7853,144.8972,Western Metropolitan,4918,Indoor,820000,2016,5
Newport,2,h,S,Williams,8.4,3015,2,1,2,255,109,1930,Hobsons Bay City Council,-37.8469,144.8766,Western Metropolitan,5498,Carport,760000,2016,8
Coburg,3,t,SP,Nelson,6.7,3058,3,1,1,64,109,2011,Darebin City Council,-37.75535,144.96481,Northern Metropolitan,11204,Carport,690000,2017,3
Brighton East,2,u,SP,Buxton,10.7,3187,2,1,3,305,112,1970,Bayside City Council,-37.9318,145.0293,Southern Metropolitan,6938,Parkade,750000,2016,3
South Yarra,2,u,PI,Williams,3.3,3141,2,2,2,0,107,1986,Melbourne City Council,-37.8376,144.9847,Southern Metropolitan,14887,Underground,1300000,2016,8
Parkdale,4,h,SP,Barry,21.5,3195,4,2,2,641,180,1980,Kingston City Council,-37.98464,145.08185,South-Eastern Metropolitan,5087,Detached Garage,1137500,2017,5
Mount Waverley,4,h,S,Ray,14.2,3149,4,2,2,664,186.6,1942.4,Monash City Council,-37.86301,145.14145,Eastern Metropolitan,13366,Detached Garage,1400000,2017,9
Bentleigh,2,u,S,hockingstuart,13,3204,2,1,2,202,76.2,1974,Glen Eira City Council,-37.9165,145.0259,Southern Metropolitan,6795,Indoor,636000,2016,3
Tullamarine,2,u,SP,Barry,12.9,3043,2.6,1.4,1.6,428,104.4,1966.4,Brimbank City Council,-37.648736,144.949798,Western Metropolitan,3296,Outdoor Stall,482500,2018,2
MacLeod,3,h,S,Barry,12.7,3085,3.2,1.4,1.8,462,137.8,1983.4,Banyule City Council,-37.76274,144.836378,Northern Metropolitan,4168,Carport,695000,2017,11
Parkdale,2,h,S,Hodges,21.5,3195,2,1,1,424,151.6,1976,Kingston City Council,-37.9962,145.0878,South-Eastern Metropolitan,5087,Detached Garage,1206000,2017,11
Frankston,3,h,VB,Eview,12.94,3199,3,2,1,539,118.4,1971,Frankston City Council,-38.14406,145.16352,South-Eastern Metropolitan,17055,Attached Garage,550000,2017,8
Balwyn,2,h,S,Ham,7.9,3103,2,1,2,425.2,179.6,1970.6,Boroondara City Council,-37.81098,145.0819,Southern Metropolitan,5682,Indoor,1008000,2017,10
North Melbourne,2,h,S,Jellis,2.3,3051,2,1,1,111,73,1880,Melbourne City Council,-37.8044,144.9481,Northern Metropolitan,6821,Attached Garage,885000,2016,8
Docklands,1,u,VB,RT,1.9,3008,1,1,1,0,83.8,1986.4,Melbourne City Council,-37.8133,144.9433,Southern Metropolitan,4707,Carport,360000,2016,10
Warrandyte,4,h,S,Fletchers,21.1,3113,4,3,2,1209,173.4,1965.6,Manningham City Council,-37.7396,145.22219,Eastern Metropolitan,2003,Indoor,1420000,2017,3
Mont Albert,2,u,S,Jellis,11.8,3127,3.2,2,1.6,499.8,155,2002,Boroondara City Council,-37.829178,145.002038,Eastern Metropolitan,2079,Attached Garage,1150000,2016,10
Maribyrnong,4,h,S,Rendina,8.7,3032,4,3,2,224,205,2015,Maribyrnong City Council,-37.7641,144.8885,Western Metropolitan,4918,Carport,1190000,2017,4
Burnley,3,h,VB,hockingstuart,2.4,3121,3,2,2,1212,162.8,2010,Yarra City Council,-37.82982,145.01038,Northern Metropolitan,438,Outdoor Stall,1100000,2017,6
Lalor,3,h,S,HAR,16.3,3075,3,1,1.6,688,100,1970,Whittlesea City Council,-37.67438,145.02506,Northern Metropolitan,8279,Attached Garage,716500,2017,10
Coburg North,3,h,S,Raine,9.2,3058,3,1.4,1.6,505.6,137.4,1967,Darebin City Council,-37.770708,144.955256,Northern Metropolitan,3445,Attached Garage,765000,2016,8
Balwyn,3,h,VB,Jellis,9.7,3103,3,2,3,613,193,1943,Boroondara City Council,-37.8056,145.0688,Southern Metropolitan,5682,Attached Garage,1750000,2016,11
Newport,2,h,S,Williams,8.4,3015,2,1,2,451,136.4,1985.8,Hobsons Bay City Council,-37.8349,144.8714,Western Metropolitan,5498,Detached Garage,762000,2016,7
Altona,2,u,SP,hockingstuart,13.8,3018,2,1,1,0,105.6,1988.2,Hobsons Bay City Council,-37.8659,144.831,Western Metropolitan,5301,Detached Garage,440000,2017,11
Hampton East,4,h,SP,Buxton,13.8,3188,2.8,1.2,1.6,359,143.2,1961,Bayside City Council,-37.861894,144.974614,Southern Metropolitan,2356,Attached Garage,1200000,2017,6
Moonee Ponds,3,h,SP,Brad,6.9,3039,3,2,3,477,258,2014,Moonee Valley City Council,-37.7661,144.9076,Western Metropolitan,6232,Parkade,1550000,2016,8
Elwood,3,t,PI,McGrath,7.7,3184,3,2,2,758,137.2,2010,Port Phillip City Council,-37.8768,144.9845,Southern Metropolitan,8989,Outdoor Stall,920000,2016,11
Northcote,3,h,SP,Jellis,5.3,3070,3,1,2,626,117,1925,Darebin City Council,-37.77193,145.01048,Northern Metropolitan,11364,Parkade,1660000,2018,10
Bentleigh East,2,h,S,Buxton,13.9,3165,2,1,1,0,115,1950,Glen Eira City Council,-37.9212,145.0606,Southern Metropolitan,10969,Carport,710000,2016,11
Rosanna,3,h,S,Miles,8.9,3084,3,1.6,1.4,678.2,130.6,1975.4,Banyule City Council,-37.7476,145.07264,Eastern Metropolitan,3540,Indoor,1001000,2018,3
South Yarra,1,u,SP,hockingstuart,3.3,3141,1.6,1.2,1,103,86.8,1992.6,Melbourne City Council,-37.85013,144.87394,Southern Metropolitan,14887,Detached Garage,407000,2017,11
Richmond,3,h,S,Biggin,2.4,3121,3,2,1,83,163.8,1921,Yarra City Council,-37.82458,144.99767,Northern Metropolitan,14949,Carport,1590000,2017,7
Doncaster,4,h,S,Barry,13.9,3108,4,2,2,814,197.2,1972,Manningham City Council,-37.7859,145.12,Eastern Metropolitan,9028,Parkade,1880000,2017,4
Preston,2,u,S,Nelson,8.8,3072,2,1,2,196,113.2,2004.6,Darebin City Council,-37.7362,144.9885,Northern Metropolitan,14577,Parkade,560000,2017,4
Heidelberg West,3,h,S,Barry,9.4,3081,3,1,0,589,129,1997.8,Banyule City Council,-37.7356,145.0448,Eastern Metropolitan,2674,Indoor,652000,2017,11
South Yarra,2,t,S,Jellis,3.3,3141,3.4,1.6,1,362.4,148.4,1922,Melbourne City Council,-37.81436,145.02044,Southern Metropolitan,14887,Detached Garage,1510000,2017,3
Bentleigh East,3,u,SP,Woodards,13.8,3165,3,2,2,354,115.6,1961.4,Glen Eira City Council,-37.93199,145.06646,Southern Metropolitan,10969,Outdoor Stall,905000,2017,8
Carnegie,3,u,SP,Steller,10.1,3163,2.8,1.4,1.4,556.6,123.2,1984.4,Glen Eira City Council,-37.845508,144.983844,Southern Metropolitan,7822,Indoor,783000,2017,3
Hawthorn,3,t,S,Jellis,4.6,3122,3,2,2,299,152.2,1960,Boroondara City Council,-37.8299,145.0387,Southern Metropolitan,11308,Attached Garage,1400000,2016,12
Balwyn,3,h,S,Marshall,9.7,3103,3.2,1.4,1.4,407.4,142.6,1951.8,Boroondara City Council,-37.805794,144.95542,Southern Metropolitan,5682,Carport,1135000,2017,5
Elwood,2,u,S,hockingstuart,7.2,3184,2,1,1,117.8,70.4,1964,Port Phillip City Council,-37.87475,144.9908,Southern Metropolitan,8989,Carport,521000,2017,8
Truganina,3,u,S,Barry,18.4,3029,3,2,1,315,93.6,1997.2,Melton City Council,-37.84253,144.7227,Western Metropolitan,5811,Attached Garage,453350,2017,8
